"","X.1.x","date","multi","value.x","X","variable","L1"
"448","Larvae","August","100","1","Nemertea","X.1",1
"449","Leuckartiara octona","April","16","1","Hydrozoa ","X.1",1
"450","Lizzia blondina","September","16","1","Hydrozoa ","X.1",1
"451","Lizzia blondina","July","25","5","Hydrozoa ","X.1",1
"452","Meganyctiphanes norvegica adult","August","100","2","Euphausiidae ","X.1",1
"453","Microcalanus pusillus C1","April","16","64","Calanoida","X.1",1
"454","Microcalanus pusillus C1","March","8","24","Calanoida","X.1",1
"455","Microcalanus pusillus C2","April","16","48","Calanoida","X.1",1
"456","Microcalanus pusillus C3","July","25","200","Calanoida","X.1",1
"457","Microcalanus pusillus C3","April","16","32","Calanoida","X.1",1
"458","Microcalanus pusillus C4","July","25","200","Calanoida","X.1",1
"459","Microcalanus pusillus C4","May","50","100","Calanoida","X.1",1
"460","Microcalanus pusillus C4","April","16","16","Calanoida","X.1",1
"461","Microcalanus pusillus C5","June","50","50","Calanoida","X.1",1
"462","Microcalanus pusillus C5","March","8","16","Calanoida","X.1",1
"463","Microcalanus pusillus C6M","April","16","16","Calanoida","X.1",1
"464","Microcalanus pusillus C6M","June","50","50","Calanoida","X.1",1
"465","Microsetella norvegica","March","8","96","Harpacticoida","X.1",1
"466","Microsetella norvegica","July","25","25","Harpacticoida","X.1",1
"467","Microsetella norvegica","April","16","32","Harpacticoida","X.1",1
"468","Month","September","16","September","","X.1",1
"469","Month","March","8","March","","X.1",1
"470","Month","August","100","August","","X.1",1
"471","Month","May","50","May","","X.1",1
"472","Month","April","16","April","","X.1",1
"473","Month","October","16","October","","X.1",1
"474","Month","June","50","June","","X.1",1
"475","Month","July","25","July","","X.1",1
"476","Month","November","2","November","","X.1",1
"477","Nanomia cara","July","25","1","Siphonophora ","X.1",1
"478","Nauplius","March","8","192","Cirripedia","X.1",1
"479","Nauplius","August","100","100","Cirripedia","X.1",1
"480","Nauplius","July","25","25","Cirripedia","X.1",1
"481","Nauplius","April","16","128","Cirripedia","X.1",1
"482","Obelia spp.","April","16","16","Hydrozoa ","X.1",1
"483","Obelia spp.","May","50","3","Hydrozoa ","X.1",1
"484","Obelia spp.","October","16","3","Hydrozoa ","X.1",1
"485","Obelia spp.","March","8","16","Hydrozoa ","X.1",1
"486","Obelia spp.","August","100","3","Hydrozoa ","X.1",1
"487","Obelia spp.","September","16","4","Hydrozoa ","X.1",1
"488","Obelia spp.","June","50","4","Hydrozoa ","X.1",1
"489","Oikopleura spp.","September","16","256","Appendicularia","X.1",1
"490","Oikopleura spp.","June","50","1052","Appendicularia","X.1",1
"491","Oikopleura spp.","March","8","88","Appendicularia","X.1",1
"492","Oikopleura spp.","August","100","6100","Appendicularia","X.1",1
"493","Oikopleura spp.","April","16","16","Appendicularia","X.1",1
"494","Oikopleura spp.","October","16","128","Appendicularia","X.1",1
"495","Oikopleura spp.","May","50","950","Appendicularia","X.1",1
"496","Oikopleura spp.","July","25","300","Appendicularia","X.1",1
"497","Oikopleura spp.","November","2","14","Appendicularia","X.1",1
"498","Oithona spp. C1-5","April","16","400","Cyclopoida","X.1",1
"499","Oithona spp. C1-5","August","100","1700","Cyclopoida","X.1",1
"500","Oithona spp. C1-5","November","2","18","Cyclopoida","X.1",1
"501","Oithona spp. C1-5","July","25","375","Cyclopoida","X.1",1
"502","Oithona spp. C1-5","March","8","200","Cyclopoida","X.1",1
"503","Oithona spp. C1-5","May","50","250","Cyclopoida","X.1",1
"504","Oithona spp. C6F","August","100","600","Cyclopoida","X.1",1
"505","Oithona spp. C6F","July","25","125","Cyclopoida","X.1",1
"506","Oithona spp. C6F","April","16","16","Cyclopoida","X.1",1
"507","Oithona spp. C6F","March","8","16","Cyclopoida","X.1",1
"508","Oithona spp. C6F","May","50","50","Cyclopoida","X.1",1
"509","Oithona spp. C6F","September","16","16","Cyclopoida","X.1",1
"510","Oithona spp. C6F","November","2","2","Cyclopoida","X.1",1
"511","Oithona spp. C6M","March","8","8","Cyclopoida","X.1",1
"512","Oithona spp. C6M","October","16","16","Cyclopoida","X.1",1
"513","Oncaea spp. ","March","8","8","Cyclopoida","X.1",1
"514","Ophiopluteus larvae (brittle star)","July","25","50","Echinodermata ","X.1",1
"515","Ophiopluteus larvae (brittle star)","June","50","150","Echinodermata ","X.1",1
"516","Ophiopluteus larvae (brittle star)","August","100","200","Echinodermata ","X.1",1
"517","Paracalanus parvus C1","April","16","176","Calanoida","X.1",1
"518","Paracalanus parvus C1","June","50","50","Calanoida","X.1",1
"519","Paracalanus parvus C2","April","16","224","Calanoida","X.1",1
"520","Paracalanus parvus C3","April","16","176","Calanoida","X.1",1
"521","Paracalanus parvus C4","October","16","32","Calanoida","X.1",1
"522","Paracalanus parvus C4","June","50","50","Calanoida","X.1",1
"523","Paracalanus parvus C4","April","16","128","Calanoida","X.1",1
"524","Paracalanus parvus C5","October","16","80","Calanoida","X.1",1
"525","Paracalanus parvus C5","September","16","36","Calanoida","X.1",1
"526","Paracalanus parvus C5","November","2","26","Calanoida","X.1",1
"527","Paracalanus parvus C5","April","16","48","Calanoida","X.1",1
"528","Paracalanus parvus C6F","April","16","48","Calanoida","X.1",1
"529","Paracalanus parvus C6F","October","16","112","Calanoida","X.1",1
"530","Paracalanus parvus C6F","November","2","6","Calanoida","X.1",1
"531","Paracalanus parvus C6M","May","50","50","Calanoida","X.1",1
"532","Paracalanus parvus C6M","October","16","48","Calanoida","X.1",1
"533","Paracalanus parvus C6M","November","2","2","Calanoida","X.1",1
"534","Parasagitta elegans","May","50","1","Chaetognatha","X.1",1
"535","Parasagitta spp.","October","16","15","Chaetognatha","X.1",1
"536","Parasagitta spp.","June","50","1","Chaetognatha","X.1",1
"537","Parasagitta spp.","September","16","5","Chaetognatha","X.1",1
"538","Parasagitta spp.","April","16","32","Chaetognatha","X.1",1
"539","Parasagitta spp.","August","100","9","Chaetognatha","X.1",1
"540","Parasagitta spp.","November","2","3","Chaetognatha","X.1",1
"541","Parasitic","September","16","1","Isopoda ","X.1",1
"542","Phialella quadrata","August","100","1","Hydrozoa ","X.1",1
"543","Pisidia longicornis zoea","August","100","2","Anomura","X.1",1
"544","Pleurobrachia pileus","September","16","2","Ctenophora","X.1",1
"545","Pleurobrachia pileus","July","25","25","Ctenophora","X.1",1
"546","Podon/ Pleopsis spp.","August","100","200","Cladocera","X.1",1
"547","Podon/ Pleopsis spp.","May","50","50","Cladocera","X.1",1
"548","Podon/ Pleopsis spp.","September","16","32","Cladocera","X.1",1
"549","Podon/ Pleopsis spp.","July","25","25","Cladocera","X.1",1
"550","Podon/ Pleopsis spp.","October","16","16","Cladocera","X.1",1
"551","Pseudocalanus minutus-elongatus C1","April","16","16","Calanoida","X.1",1
"552","Pseudocalanus minutus-elongatus C1","August","100","100","Calanoida","X.1",1
"553","Pseudocalanus minutus-elongatus C1","July","25","150","Calanoida","X.1",1
"554","Pseudocalanus minutus-elongatus C1","June","50","700","Calanoida","X.1",1
"555","Pseudocalanus minutus-elongatus C1","May","50","100","Calanoida","X.1",1
"556","Pseudocalanus minutus-elongatus C2","October","16","16","Calanoida","X.1",1
"557","Pseudocalanus minutus-elongatus C2","April","16","144","Calanoida","X.1",1
"558","Pseudocalanus minutus-elongatus C2","July","25","175","Calanoida","X.1",1
"559","Pseudocalanus minutus-elongatus C2","May","50","100","Calanoida","X.1",1
"560","Pseudocalanus minutus-elongatus C2","June","50","550","Calanoida","X.1",1
"561","Pseudocalanus minutus-elongatus C3","March","8","8","Calanoida","X.1",1
"562","Pseudocalanus minutus-elongatus C3","June","50","500","Calanoida","X.1",1
"563","Pseudocalanus minutus-elongatus C3","April","16","128","Calanoida","X.1",1
"564","Pseudocalanus minutus-elongatus C3","September","16","16","Calanoida","X.1",1
"565","Pseudocalanus minutus-elongatus C3","May","50","150","Calanoida","X.1",1
"566","Pseudocalanus minutus-elongatus C3","July","25","150","Calanoida","X.1",1
"567","Pseudocalanus minutus-elongatus C4","September","16","64","Calanoida","X.1",1
"568","Pseudocalanus minutus-elongatus C4","November","2","18","Calanoida","X.1",1
"569","Pseudocalanus minutus-elongatus C4","August","100","1300","Calanoida","X.1",1
"570","Pseudocalanus minutus-elongatus C4","March","8","8","Calanoida","X.1",1
"571","Pseudocalanus minutus-elongatus C4","June","50","300","Calanoida","X.1",1
"572","Pseudocalanus minutus-elongatus C4","July","25","175","Calanoida","X.1",1
"573","Pseudocalanus minutus-elongatus C4","April","16","560","Calanoida","X.1",1
"574","Pseudocalanus minutus-elongatus C4","May","50","200","Calanoida","X.1",1
"575","Pseudocalanus minutus-elongatus C4","October","16","112","Calanoida","X.1",1
"576","Pseudocalanus minutus-elongatus C5","June","50","350","Calanoida","X.1",1
"577","Pseudocalanus minutus-elongatus C5","October","16","512","Calanoida","X.1",1
"578","Pseudocalanus minutus-elongatus C5","September","16","16","Calanoida","X.1",1
"579","Pseudocalanus minutus-elongatus C5","July","25","150","Calanoida","X.1",1
"580","Pseudocalanus minutus-elongatus C5","August","100","300","Calanoida","X.1",1
"581","Pseudocalanus minutus-elongatus C5","April","16","160","Calanoida","X.1",1
"582","Pseudocalanus minutus-elongatus C5","May","50","200","Calanoida","X.1",1
"583","Pseudocalanus minutus-elongatus C6F","June","50","250","Calanoida","X.1",1
"584","Pseudocalanus minutus-elongatus C6F","May","50","600","Calanoida","X.1",1
"585","Pseudocalanus minutus-elongatus C6F","July","25","400","Calanoida","X.1",1
"586","Pseudocalanus minutus-elongatus C6F","April","16","32","Calanoida","X.1",1
"587","Pseudocalanus minutus-elongatus C6F","September","16","96","Calanoida","X.1",1
"588","Pseudocalanus minutus-elongatus C6F","October","16","160","Calanoida","X.1",1
"589","Pseudocalanus minutus-elongatus C6M","September","16","16","Calanoida","X.1",1
"590","Pseudocalanus minutus-elongatus C6M","July","25","50","Calanoida","X.1",1
"591","Pseudocalanus minutus-elongatus C6M","October","16","16","Calanoida","X.1",1
"592","Pseudocalanus minutus-elongatus C6M","June","50","200","Calanoida","X.1",1
"593","Pseudocalanus minutus-elongatus C6M","April","16","16","Calanoida","X.1",1
"594","Remains","September","16","1","Cnidaeria","X.1",1
"595","Remains","September","16","1","Ctenophora","X.1",1
"596","Remains","July","25","27","Cnidaeria","X.1",1
"597","Remains","July","25","27","Ctenophora","X.1",1
"598","Sub-sample multiplier","November","2","2","","X.1",1
"599","Sub-sample multiplier","October","16","16","","X.1",1
"600","Sub-sample multiplier","July","25","25","","X.1",1
"601","Sub-sample multiplier","March","8","8","","X.1",1
"602","Sub-sample multiplier","May","50","50","","X.1",1
"603","Sub-sample multiplier","June","50","50","","X.1",1
"604","Sub-sample multiplier","September","16","16","","X.1",1
"605","Sub-sample multiplier","August","100","100","","X.1",1
"606","Sub-sample multiplier","April","16","16","","X.1",1
"607","Temora longicornis C1","July","25","125","Calanoida","X.1",1
"608","Temora longicornis C1","August","100","200","Calanoida","X.1",1
"609","Temora longicornis C1","June","50","50","Calanoida","X.1",1
"610","Temora longicornis C2","June","50","50","Calanoida","X.1",1
"611","Temora longicornis C2","August","100","300","Calanoida","X.1",1
"612","Temora longicornis C2","July","25","50","Calanoida","X.1",1
"613","Temora longicornis C3","July","25","50","Calanoida","X.1",1
"614","Temora longicornis C3","August","100","100","Calanoida","X.1",1
"615","Temora longicornis C3","June","50","50","Calanoida","X.1",1
"616","Temora longicornis C4","May","50","50","Calanoida","X.1",1
"617","Temora longicornis C4","September","16","16","Calanoida","X.1",1
"618","Temora longicornis C4","June","50","100","Calanoida","X.1",1
"619","Temora longicornis C4","July","25","50","Calanoida","X.1",1
"620","Temora longicornis C5","October","16","16","Calanoida","X.1",1
"621","Temora longicornis C6F","April","16","32","Calanoida","X.1",1
"622","Temora longicornis C6F","August","100","100","Calanoida","X.1",1
"623","Temora longicornis C6F","September","16","16","Calanoida","X.1",1
"624","Temora longicornis C6F","October","16","32","Calanoida","X.1",1
"625","Temora longicornis C6M","May","50","50","Calanoida","X.1",1
"626","Temora longicornis C6M","July","25","50","Calanoida","X.1",1
"627","Temora longicornis C6M","October","16","32","Calanoida","X.1",1
"628","Temora longicornis C6M","June","50","50","Calanoida","X.1",1
"629","Tomopteris spp.","August","100","1","Polychaeta","X.1",1
"630","Tomopteris spp.","July","25","12","Polychaeta","X.1",1
